,rank,country,price,score,active,athlete_id,is_team,name,gender,links.self,links.results
370,111,FRA,220,0,False,3190303,False,PHILIPOT Mickael,m,https://www.fantasyxc.se/api/athletes/3190303,https://www.fantasyxc.se/api/athletes/3190303/results
371,111,KAZ,230,0,False,3670058,False,MUKHIN Rinat,m,https://www.fantasyxc.se/api/athletes/3670058,https://www.fantasyxc.se/api/athletes/3670058/results
372,111,CHE,227,0,False,1362947,False,PERL Curdin,m,https://www.fantasyxc.se/api/athletes/1362947,https://www.fantasyxc.se/api/athletes/1362947/results
373,111,DEU,230,0,True,3200072,False,KATZ Andreas,m,https://www.fantasyxc.se/api/athletes/3200072,https://www.fantasyxc.se/api/athletes/3200072/results
374,111,RUS,298,0,True,3482260,False,SOBAKAREV Andrey,m,https://www.fantasyxc.se/api/athletes/3482260,https://www.fantasyxc.se/api/athletes/3482260/results
375,111,ISL,316,0,True,3250062,True,ICELAND I,m,https://www.fantasyxc.se/api/athletes/3250062,https://www.fantasyxc.se/api/athletes/3250062/results
376,111,CZE,214,0,True,3150509,False,KNOP Petr,m,https://www.fantasyxc.se/api/athletes/3150509,https://www.fantasyxc.se/api/athletes/3150509/results
377,111,CZE,3234,0,True,74730,True,CZECH REPUBLIC II,m,https://www.fantasyxc.se/api/athletes/74730,https://www.fantasyxc.se/api/athletes/74730/results
378,111,SWE,218,0,False,3500983,False,QUICKLUND Carl,m,https://www.fantasyxc.se/api/athletes/3500983,https://www.fantasyxc.se/api/athletes/3500983/results
379,111,KAZ,211,0,True,3670022,False,VELICHKO Yevgeniy,m,https://www.fantasyxc.se/api/athletes/3670022,https://www.fantasyxc.se/api/athletes/3670022/results
380,111,SVN,483,0,True,3560101,False,SIMENC Miha,m,https://www.fantasyxc.se/api/athletes/3560101,https://www.fantasyxc.se/api/athletes/3560101/results
